id	cliente_nombre	chat_id	total	estado	fecha_hora
1	Nacho Juarez	7073036890	1300	CONFIRMADO	2026-09-11T17:14:34
2	Nacho Juarez	7073036890	2800	CONFIRMADO	2026-09-11T17:15:02
3	Nacho Juarez	7073036890	2600	CONFIRMADO	2026-09-11T17:15:35
4	Nacho Juarez	7073036890	950	CONFIRMADO	2026-09-11T17:16:06
5	Nacho Juarez	7073036890	3200	CONFIRMADO	2026-09-11T17:16:41
6	Nacho Juarez	7073036890	1300	CONFIRMADO	2026-09-11T17:17:14
7	Nacho Juarez	7073036890	2700	CONFIRMADO	2026-09-11T17:17:43
8	Nacho Juarez	7073036890	450	CONFIRMADO	2026-09-11T17:18:10
9	Nacho Juarez	7073036890	1500	CONFIRMADO	2026-09-11T17:18:42
10	Nacho Juarez	7073036890	1200	CONFIRMADO	2026-09-11T17:19:16
11	Nacho Juarez	7073036890	1200	CONFIRMADO	2026-09-11T17:19:53
12	Nacho Juarez	7073036890	700	CONFIRMADO	2026-09-11T17:20:25
13	Nacho Juarez	7073036890	1900	CONFIRMADO	2026-09-11T17:20:51
14	Nacho Juarez	7073036890	15000	CONFIRMADO	2026-09-11T17:21:56
15	Nacho Juarez	7073036890	1950	CONFIRMADO	2026-09-11T17:23:11
16	Nacho Juarez	7073036890	4100	CONFIRMADO	2026-09-11T17:24:19
17	Nacho Juarez	7073036890	7200	CANCELADO	2026-09-11T17:24:54
18	Nacho Juarez	7073036890	4200	CANCELADO	2026-09-11T17:25:40
19	Nacho Juarez	7073036890	4800	CANCELADO	2026-09-11T17:26:10
20	Nacho Juarez	7073036890	32000	CONFIRMADO	2026-09-11T17:26:43
